year,industry,gdp
2006,Construction,3667.8
2006,Finance and Insurance,2748.4
2006,Government,12513.0
2006,Health Care and Social Assistance,6346.2
2006,Information,1181.1
2006,Leisure and Hospitality,2893.6000000000004
2006,Manufacturing,7616.3
2006,Mining and Logging,7255.800000000001
2006,Other Services,1978.0
2006,Private Educational Services,392.0
2006,Professional and Business Services,4618.1
2006,Real Estate and Rental and Leasing,6695.4
2006,"Trade, Transportation, and Utilities",12758.7
2007,Construction,3569.5
2007,Finance and Insurance,2767.4
2007,Government,12469.7
2007,Health Care and Social Assistance,6271.9
2007,Information,1280.9
2007,Leisure and Hospitality,2821.5
2007,Manufacturing,7106.9
2007,Mining and Logging,7784.8
2007,Other Services,1867.5
2007,Private Educational Services,391.0
2007,Professional and Business Services,4851.1
2007,Real Estate and Rental and Leasing,7311.6
2007,"Trade, Transportation, and Utilities",12610.8
2008,Construction,3718.4
2008,Finance and Insurance,2679.4
2008,Government,12589.2
2008,Health Care and Social Assistance,6627.9
2008,Information,1328.2
2008,Leisure and Hospitality,2823.0
2008,Manufacturing,7208.7
2008,Mining and Logging,7992.2
2008,Other Services,1762.6
2008,Private Educational Services,407.7
2008,Professional and Business Services,5211.5
2008,Real Estate and Rental and Leasing,7628.6
2008,"Trade, Transportation, and Utilities",12718.8
2009,Construction,3570.7
2009,Finance and Insurance,2946.8
2009,Government,12834.8
2009,Health Care and Social Assistance,6836.6
2009,Information,1263.6
2009,Leisure and Hospitality,2761.0
2009,Manufacturing,7570.7
2009,Mining and Logging,7655.9
2009,Other Services,1694.1
2009,Private Educational Services,433.8
2009,Professional and Business Services,4964.5
2009,Real Estate and Rental and Leasing,7729.400000000001
2009,"Trade, Transportation, and Utilities",12205.300000000001
2010,Construction,3682.3
2010,Finance and Insurance,2726.4
2010,Government,12765.6
2010,Health Care and Social Assistance,6814.5
2010,Information,1367.7
2010,Leisure and Hospitality,2927.8999999999996
2010,Manufacturing,7105.1
2010,Mining and Logging,7548.8
2010,Other Services,1686.0
2010,Private Educational Services,456.7
2010,Professional and Business Services,4993.2
2010,Real Estate and Rental and Leasing,8474.1
